labels,sentences
1,A beloved and devoted priest from a small town volunteers for a medical experiment which fails and turns him into a vampire  Physical and psychological changes lead to his affair with a wife of his childhood friend who is repressed and tired of her mundane life  The onetime priest falls deeper in despair and depravity As things turns for worse he struggles to maintain whats left of his humanity The vampire movie should have really been extinct now thanks to the poor efforts of the Twilight and Underworld franchises but the director injects new blood into the story of the vampire by putting simple things into perspective These vampires have reflections and no fangs but still feed and die the same Making the main protagonist a priest really opens up a can of worms for questioning ones acts The priest primarily feeds to make himself better but when he meets his friends unfulfilled wife carnal instincts set in What makes this film intensely erotic is that when the couple consent for the first time they are experiencing something they have never before forbidden passion which makes the scenario all that more sensual ChanWook adds some much needed humour into the film but this is only realised in the final third of the movie We see the daughter lift her mother in the chair in front of everyone and when she realises her own strength just puts the chair down and carry on Hilarious and the final act wouldnt be out of place in a carry on film or even the three Stooges as the couple fight for survivaldeath respectively CGI is subtle and fantastic and the scenes with them jumping from building to building is so graceful you could be watching ballet The vampire genre feels fresh and vibrant after this but more importantly has the eroticism and intensity that most vampire films are missing these days Its violent but from the director in question i wouldnt expect anything different A really interesting story with fantastic characters and beautiful cinematography
1,You know what they say about the 70sif you can remember them you werent there One of the few things I do remember about the 70s was the very first hippie and hip social satire as seen from a totally undergroundor counterculture perspectiveThe Groove Tube If the humor seems faded or witless now to some viewers it can only be because a lot has happened in the last 30 years and the comedy isnt fresh anymorebut hey When this movie came out it was a firstand some of these skits were being done for the very first timeat a time when Nixon was in office the Vietnam war was raging the sexual revolution was in full swingand JEdgar Hoover was still in charge of the FBI This is a film made before Watergate broke and as such it was one of the first to take a big swipe at the establishmentto make fun of it and the hippies at the same time And frankly some skits are still dead funny If you liked Cheech and Chongs Up In Smokeyou will LOVE this film If you want to know what the 70s were really likecheck out the Groove Tube if you liked the Oscar winning Network from about the same year and thought it was right on the mark in its savage look at TV you will dig the Groove Tubewhich picks up on the theme but plays from the angle of the viewersthe young viewers who were turning off the TV in favor of other entertainments We had been raised on Ozzie  Harriet Leave It to Beaver Father Knows Best My Three SonsHappy Daysso imagine our glee when those of us who were experimenting with the new lifestyles got to see a send up of the box as seen from our perspective The commercials by the Uranus corporation alone are pricelessGood things come from Uranusand the sudden break from straight film into Fritz the Catstyle animation when the hippies eat the weed is still one of the best segues in and out of sanity i have ever seen on film If you liked the Kentucky Fried Movie you will LOVE this film And if you ever wondered why your weird uncle Harold still gets a wicked gleam in his eye when thinking back to his college daysthis would be the perfect film to watch Take it for what it isa memento of the timesand a sassy little film that will help all of us who did forget the 70s to remember them anew
0,Im embarrassed to be writing this review I say that because those of you reading it will know that I sat through the whole thing and that is embarrassing to admit even to strangers But I just had to warn those who read the viewer comments on IMDb before they watch a film not to watch this one Its the least I can do This is a bad movie Trust me The plot is goofy The acting is amateurish And the directing camera work sets costumes etc are all second rate Let it go
0,By the standards of Hollywood this movie was filmed and edited as Hollywood movies are and therefore looked like a movie you would get out of a bigtime production studio within Hollywood Thats where anything remotely close to having Hollywood standards ends This was THE WORST MOVIE I have EVER seen in MY LIFE I am not joking The story was so unbelievably stupid and unrealistic that I could not contain my laughter in the movie theater through the course of watching this film I know what youre saying its a horror film its not supposed to have a good story its supposed to scare you Well let me tell you something the movie is not even scary in the least bit Its too full of stupid bits that cancels out the little suspense there may have been The acting was awful as well along with the scariness of the murderer who you constantly see through flashbacks locked in a cage jacking off Throughout the movie I kept getting a sense I was watching something that was thought up written produced and directed by a highschooler who watches too much pornography Please dont see this movie spend your 850 on other things like a snow cone which would be much more worth your while
0,The core message is strong the cast has given it their best shot the packaging is excellent but the screenplay is seriously overdramatized and every cliche in the book on womens suffering in India has been overused to the max
0,Theres nothing worse than renting an Asian movie and getting an American movie experience instead Its only my opinion but a good thriller is dependent upon the establishment of likable intelligent characters As far as likability is concerned the protagonists in Say Yes are a quaint married couple Nicely done Unfortunately they are stupid beyond belief Let us count the ways they mishandle being terrorized by a stalker 1 After a hitchhiker threatens to kill you be sure to tell him what hotel youre staying at when you drop him off 2 Beat the hell out of the stalker in broad daylight and in front of dozens of witnesses thereby allowing him to press charges of assault 3 Dont bother telling the police about the stalker and simply assume for no apparently good reason that the cops were bribed by him 4 While trying to escape let your lady out of your sight as much as possible to ensure that the stalker kidnaps her 5 After getting help from someone to find the stalker after kidnapping your wife be sure to send them away as soon as possible so you can face him oneonone No point in being unfair right  Now Id never expect that any person would be immune to making a few mistakes under these stressful conditions but the characters in Say Yes are so dense and make so many unbelievable mistakes that its effectively impossible for the viewer to care about their safety since they are victims of their own doing This kills the enjoyability of the entire film  In case you were wondering the scriptwriters didnt stop with dimwitted characters Since they themselves are surely dimwitted for writing this crapfest they decided to make situations so absurdly unrealistic that all sense of reality goes out the window 1 The stalker kills a cop inside a police station Â– while the protagonist is asleep no more than ten feet away 2 The stalker engages in all sorts of dubious activities in broad daylight and around tons of people yet no one other than the married couple seems to notice his odd behavior 3 The stalker survives an absurd amount of violence that would have killed any human being 4 The suspense scenes had no imagination whatsoever In fact some scenes were direct ripoffs from American movies The only positive is the decapitation near the end which was a pretty brutal scene since it was inflicted upon the wife Its too bad the filmmakers followed it up with an outrageously stupid ending that comes out of left field Truly the Koreans behind the making of Say Yes should be ashamed of themselves Better yet they should just move to California and take employment with people who make movies with a similar disregard for quality and intelligence
1,Cry Freedom is not just a movie It is a historical account heroic story and insight into the cultural background of a major event in history Not only does Denzel Washington do a terrific job of impersonating a motivating determined hero Steve Biko but he delivers a message to the public about the horrors of South Arfrican Apartheid The story of Biko an influential leader and his main influencee Donald Woods is a heartbreaking one But the ultimate success of his life can go beyond the atrocities committed in South Africa Cry Freedom manages to communicate to its audience the optimistic aspect of the seemingly disturbing plot It is because of great films like this one that the public can become educated on terrible events in history great leaders who sought to end them and how we can never allow them to happen in the future Because of this importance Cry Freedom is an amazing film that should be seen by all
1,In the early 19th century a young woman with a harelip falls foul of her familys ambition and the superstitions of the local community but she meets a man who may see her differently and just may change Prus life forever Precious Bane is a British Broadcasting Corporation adaptation of the highly acclaimed novel by Mary Webb Its a beautifully filmed piece that is acted to an incredibly high standard the story screenplay by Maggie Wadey is excellent and the period detail and use of dialect is second to none Its such a shame that this film has yet to get a DVD release one would have thought that with Clive Owens great here as Gideon rise to stardom the BBC would get it out there but sadly no so the only way of catching it is on the very rare occasions that TCM shows it The lead performance from Janet McTeer as Pru Sarn is simply brilliant guts and genuine emotion go hand in hand as McTeer gives it her all Pru has to not only contend with her facial disfigurement but also the constant snides and hurt from the ignorant villagers This is a time when folk believed that if a Hare ran in front of a pregnant woman it spelt doom a time of Bull Baiting a time of superstitions and talk of witches In spite of constant set backs Pru is strong and resourceful even her own family knock her dreams back without realising it but this road may well be a terribly bumpy one but hope is everlasting and Pru has hope in abundance 8510
1,I went to this movie expecting an artsy scary film What I got was scare after scare Its a horror film at its core Its not dull like other horror films where a haunted house just has ghosts and gore This film doesnt even show you the majority of the deaths it shows the fear of the characters I think one of the best things about the concept where its not just the house thats haunted its whoever goes into the house They become haunted no matter where they are Office buildings police stations hotel rooms etc After reading some of the external reviews I am really surprised that critics didnt like this film I am going to see it again this week and am excited about it I gave this film 10 stars because it did what a horror film should It scared the st out of me
0,I love a good Western movie but this was more like watching a play on stage or an act at the local street carnival show I could only stand 38 minutes of it in hopes that it would improve but it only got worse and I had to end it Each actors stated the lines as if reading directly from the script or cue cards There was too much predictability to the lines and actions not as if a natural occurrence or conversation The wig on Rachel Kimsey was obvious The actresses playing Native American sisters could have played nonnative parts and should have Wardrobe for the Native Americans could have been better and a little more authentic looking If I decide to watch it with any friends in the future I will do so not with the expectations of watching a good Western but with the expectations of watching an amateur comedy film production
1,Prisons are not exactly renowned for their kind hospitality and happy vibes what with stories of fights chaos murder and of course extreme male bonding But the prison in this film is a different beast altogether Horror films set in cells are as you probably know nothing particularly new as they emphasis and exaggerate the fear of claustrophobia and the inability of escape Â– two of the greatest themes in horror cinema With such examples as THE CHAIR Waldermar Korzeniowsky 1988 THE GREEN MILE Frank Darabont 1999 ALIEN 3 David Fincher 1992and of course the entire Women In Prison exploitation genre itself another entry into this niche has to be something inventive and a lot of fun to boot in order to be recognised Or at least thats what youd have thought PRISON is certainly an incredibly fun and enjoyable ride and its somewhat of a shame that it isnt as well known as it should be The film in short centres on an old prison well duh which has been reopened However its not just fellow inmates and guards the prisoners have to fear but also a mean ass demon ghost spirit with only one thing on its mind death And boy are we treated to some awesome death scenes I wont spoil anything here for you but there are plenty of innovative and enjoyable murders all done by invisible hands Besides the special effects and the murders this film also has another thing going for it its cast Headlining we have LORD OF THE RINGS Peter Jackson 20012003 star Viggo Mortensen and for all those so inclined yes he does get naked whose performance is not only highly believable but is done with such skill that his Eastwoodesquire character is both badtothebone and likable a very delicate mix Add him to a cast of heywaitaminuteIknowthatguy actors and youve got yourself one great set of stars The characters themselves however lack threedimensionality and more often than not come across as very stereotypical Weve got a black oculist a hardasnails prison warden a humanrights activist woman and plenty of other stock characters But in all honesty this fault actually aids the film Instead of boring character development in an overlong equilibrium we are chucked more or less straight into the action and once it gets going very early on theres not a single scene thats a filler Â– its balls to the wall plot Unlike a certain SHAWSHANK REDEMPTION Frank Darabont 1994  Sharing conventions with the slasher genre this is somewhat of a convention itself and in good ol slasher genre tradition PRISON punishes those who have been bad All in all this is an excellent little horror film and one which is sadly overlooked and unmentioned among the horror world With an excellent cast and great special effects and rather original death scenes this film is highly recommended to horror fans Dont be fooled into thinking itll be a cheesy little film either just because it was made in USA 1980s its far from cheesy although the very end does ruin this and simultaneously far from gritty and realistic whilst it attempts to tackle issues such as prison rape these are rather subtly done I give it 35 out of 5 luvs A very entertaining horror film with some very nice touches indeed
1,You will be able to tell within the first 30 seconds of this film whether you want to finish watching it The film opens with images of planes landing at an airport one plane after another diving into a miragefilled runway You will be able to accurately guess that this movie is not about a story At first viewing its even easy to think the opening images are repetitive shots of the same plane The initial drama is in the acuteness of your perception which is built on your willingness to experience the film simply as a series of images If after this opening you want to see the movie you will not be bored You may even be mesmerized The movie may be an emotional experience it may be an intellectual experience it may be both Judging from the DVD commentary which is essential it was primarily an emotional experience for Herzog and at one point he talks explicitly about how the film is a collaboration between filmmaker and viewer Theres plenty of room for the viewer to make of this film exactly what he or she wants to make of it Take a gamble
0,This one is one of those classic B movie following the exploits of 2 hobos Its done really cheesily and Big Stupid running off oneliners like a cardboard cassanova But Jack Elam steals every scene hes in as the creepazoid Jesse now Jerome My favorite scene is the lynch mob and the dads voice going up 10 octaves You loved her Danny Big Stupids protege is surprisingly stupider but not as loathsome as our lead star Theres also a quaint scene of a guy pimping at the diner Joyce Meadows is the sweet naive nice gal and probably the least annoying And those yellow ruffles RAWR Oh and booze is evil according to Mr Stupid This movies a hoot Watch the MST cover of this and Crows terrific Elam homage
1,One night I was listening to talk radio and they had Leslie Nielsen on the program He went on to explain why there were only 6 shows  With TV shows like MASH you could go to the fridge to get a beer and as long as you heard what was going on you didnt miss anything But with Police Squad you HAD to watch the show with the sight gags you missed a whole lot if you didnt see them Who could forget  the part of town known as Little Italy with the coliseum in the background Even the movies relied heavily on the sight gags but then again being in the theater you were a captive audience Leslie also said the one reason the show movies and other movies like Airplane were funny is because they didnt attempt to tell what was funny It was up to the viewer to get the jokes Well thats just my 2 cents
1,Fabulous fantastic probably Disneys best musical adventure I have loved this film for over 35 years because it is so imaginative clever and fun Even despite the silly flying bed scenes the other scenes and dialog are magical and funny Could they have picked anyone better than Angela Lansbury to play Eglantine I cannot think of anyone more suited to the role Remaking this classic would be as stupid as remaking Mary Poppins David Tomlinson though he had few quality movie roles absolutely shines in this adventure He was a comic genius who is often forgotten nowadays Blustering prim and proper Englishman  nobody could really do slapstick and pull it off as gracefully as he does It would be tragic to remake this film because Tomlinson has been deceased for a few years and nobody could step into his shoes and do his character justice The dancing nightgowns and armor have a magical aura about them that other movies with witches just dont capture I particularly enjoy the parts where the Germans invade Eglantines house and she must defend it in any way she can Bobbing along bobbing along on the bottom of the beautiful briny sea Richard and Robert Sherman outdid themselves on the musical numbers All of them are fantastic and worth remembering Portobello Road being one of my favorites A great film that still holds up today
1,The movie Frailty is actually more of a psychological thriller than it is a horror film It has all the trappings of a horror film but this it is not Frailty is a film about perceptions of religion and realizing the differences between right and wrong In Frailty a middleaged father Bill Paxton and his two sons claim to be doing the work of God It turns out that they are a trio of notorious serial killers called Gods Hands We watch the father kill the demons in some rather brutal ways while convincing his sons and himself that they are doing the work God and that what they are doing is right He claims that he received a message from an angel who gave him specific instructions to eliminate the demons living here on earth God has given him a list of names and in return for his services he and his sons will be given protection which basically means the police will never be able to capture them We see all of this unfold in front of us in a very disturbing manner But what is really disturbing about it all is the effect that it has on the two sons particularly the oldest son Adam Adam himself seriously doubts the existence of a supreme being that is until his father and a week in the cellar changes all of that He knows that his father has obviously lost his mind and is pretty sure the same is happening to his younger brother Fenton Fenton the other half of this puzzle takes everything in as if it were his own religion He seems trapped in his fathers world of God and demons I suppose this is because hes so young and easily impressionable But everything that happens to these three is rather convincing in fact TOO convincing  The events that occur in the film can be looked upon as a vivid hallucination that is being experienced by the three main characters I say this because they each react to the situation in different ways and at one point in the film they each claim to see God Dad first sees the murders as his mission His mission eventually consumes him and quickly turns into an obsession with eradicating demons In fact his hallucination is the primary one His orders and the list of names he receives are all a part of this hallucination Watch the scene where Dad finds the ax in a barn to figure out where I am coming from Fenton the younger son is easily impressed by all of this talk of demons and destruction Since he is so young its easy for him to fall into his fathers trap Adam on the other is very skeptical towards his fathers actions  SPOILERS  In a way the hallucination ends when Dad is killed towards the end of the movie I will not say how or under what circumstances But I will say that it is not pleasant After his death it fastforwards to the present day The story is being told through flashbacks as seen through the eyes of the oldest son Adam In actuality it is Fenton that is telling the story not Adam as originally believed The story is being told the way he perceived it through his actions and his brothers actions Fenton has gone insane and is continuing what his father started by luring the FBI agent into his trap Since religion is a major theme in this movie the film also plays on how easy it is for religion to be misinterpreted by those that do not have a full understanding of it Before Dad discovered his newfound mission he himself did not have a clear understanding of religion nor did he fully believe in a supreme being His sons Fenton and Adam often sang innocent little childrens church hymns but yet probably did not have a clear understanding of what the lyrics meant After the revelation of Dads newfound mission they both took off in separate directions  Adam remained in doubt of there being a supreme being while Fenton was gradually sucked into his fathers madness  A very good thriller that will creep the heck out of you do not watch it alone
0,Stealing Time actually dates back to 2001 when it was mysteriously titled Rennies Landing Which explains how director Marc Fusco was able to afford this cast of now established televisionmovie actors in what is obviously an extremely low budget production About ten minutes into the film you understand why this thing never got a theatrical release after it made the film festival rounds several years ago  Its recent distribution by Franchise Pictures probably reflects a perception that the rising popularity of certain cast members can be milked to recover some of the modest production costs Although not a great addition to anyones resume young actors have done worse things when they were desperately seeking acting work of any kind Peter Facinelli Ethan Embry Scott Foley and Charlotte Ayanna play college friends who do an early Big Chill reunion and compare war stories about the failure of reality to measure up to their dreams  Unfortunately nothing else happens absolutely nothing Yes Alec Facinelli dreams about a liquor store holdup and a bank robbery which are then cheaply and lamely staged to completely inappropriate music It is the least suspenseful bank job since WC Fields was the guard in The Bank Dick  If anyone can point to any moment in Stealing Time where something actually happens I would like to know about it because as far as I can tell not a thing happens in the whole film Perhaps Fusco through incessant visual reflections is trying to say something profound about taking control of ones life before it is too late Like St Elmos Fire the movie is littered with every profound thought ever uttered by a young adult who has left the ivory tower to experience the real world for the first time I felt Fusco was going for a kind of Howard Hawks Young Professionals in Action Only Angels Have Wings motif Then again Im sure I was reading much too much into the film After all things actually happen Howard Hawks films Then again what do I know Im only a child
0,This one is bad A really bad and boring crime movie that has nothing out of the ordinary in it A series of crimes the killer that you do not see throughout the whole movie the classic investigations And also the classic tale about a cop who figures out whats going on and isnt believed by anyone so he has to fight by himself to reveal the truth Not too much in this one Vote 4 out of 10
1,Definitely not only for urban legend aficionados Campfire Tales is an often scary and always fun ride through several popular stories It is also a film that exceeded the low expectations I had A horror film I had never heard or read about a straighttovideo release granted the latter often presents us with a pleasant surprise but with horror films nowadays it can be all or nothing a cast of mostly unknowns well Ill leave the math to you The film proves to be an entertaining suspenseful and overall very enjoyable experience The four stories are wellpaced and satisfying The only one I felt was a little weaker was The Locket for the simple reason that it offers almost no explanation for its plot or the characters actions however I still loved the tale its atmosphere and ending My favorite one was the third story People Can Lick Too  the suspense in it is not only palpable but also educational I found Campfire Tales to be one of those horror gems one discovers by chance and then goes on recommending it to everyone 710
0,From the epicenter of the cultural globe four working class teenagers attempted to change the world through music and fashion It was the final attempt to do so last century and they failed Before the dust had cleared band manager and SEX shop proprietor Malcolm McLaren spent the money The Sex Pistols had earned to make a mockumentary about his own role in their success The film was called The Great Rock n Roll Swindle take the hint and consists of very little footage of The Sex Pistols actually playing music and quite a lot of footage of McLaren effectively calling the audience idiots Codsurrealist nonsense in which guitarist Steve Jones is a detective on McLarens tail soon dissolves so he and drummer Paul Cook can jet off to Rio and spend time with great train robber Ronnie Biggs Ready yourself for the spectacle of three very unappealing men dancing naked to a hideous ironyfree version of Belsen was a Gas a song about killing Jews for gold in BergenBelsen concentration camp and another song sung in Ronnies tone deaf whine which includes the lyrics God save Myra Hindley God save Ian Brady lyrics that Johnny Rotten would have considered distasteful The Sid Vicious scenes are few and idiotic Jumping out of bed in a thong with a swastika over the testicles to sing some bad boy biker song from the 50s Playing into to the Punks a joke theme of the movie in an attempt to turn Sid into James Dean Im surprised McLaren doesnt take credit for Siddys death too The redeeming scenes are those of Sid in Paris and the infamous performance of My Way The punk rock zeitgeist right there Mocking an adoring audience before shooting them all No need for an entire film just watch that clip on YouTube From Julien Temples far superior and more enjoyable 2001 documentary followup The Filth and the Fury we were given a more balancedhonest view of what transpired in 78 But there were also a number of scenes that I would have liked to have seen in Swindle as Fury was basically a reediting of the same material One was an animated Sid complete with Sids voice acting You fcken betta watch out alright or Ill slice you open  a still of which appeared on the cover of the Something Else 7 inch  a snippet was shown in Fury but I dont know what context that originally appeared Was it in original prints but removed after Sids death Was there more Fury also shed light on the film Who Killed Bambi which would have been the mock Hard Days Night movie McLaren was originally intending to make It starred Sting as a member of a gay New Romantics group and looked a damn sight more entertaining than Swindle Sod Swindle tis a swindle If you must rent The Filth and The Fury and revel in musics failure as a world changing polemic
1,The English Patient can rightly be compared to the films of David Lean whose sweeping epics such as Lawrence of Arabia and Bridge on the River Kwai must have inspired the director Anthony Minghella The film is beautifully photographed and like Lawrence is set in Northern Africa but during the second world war The story is complex but it boils down to a forbidden love between an opinionated and often difficult archeologist played by Ralph Fiennes and a married woman played by Kristin Scott Thomas  The story based on a novel by Michael Ondaatje is told in flashbacks by Fiennes Count Laszlo de Almasy  the titular character The fact that his name does not sound like hes English plays a key role in what unfolds He has been badly burned in a plane crash occurring just as the film opens and is being cared for back in Europe by Hana an army nurse played by Juliette Binoche What makes this story epic is the vast sweep across place and time and the development of characters beyond that of the two illfated lovers The film makes clear that true love and passion even with dreaded consequences can make life worth living or worth dying for If youre a romantic at heart and can appreciate a film without the standard happy endings and simple moral codes you may find that The English Patient speaks directly to you 
